rank,dong,TOT_OA_CD,p75_2026,risk_norm,lon,lat
1,초량1동,21030510010005,75.0,0.449,129.03620904948525,35.11618610660843
2,좌천동,21030700010015,85.0,0.333,129.0473005668517,35.13393954141916
3,초량6동,21030550010002,110.0,0.721,129.03330882952588,35.11957912269334
4,초량1동,21030510010001,85.0,0.587,129.03620436358312,35.114702741174604
5,초량2동,21030520010004,64.0,0.248,129.03813659276366,35.11961546804952
6,초량6동,21030550010004,78.0,0.32,129.03718142074135,35.12152703422948
7,초량6동,21030550010010,129.0,1.0,129.03490072041987,35.12295890248698
8,초량6동,21030550010007,119.0,0.912,129.03468139640904,35.12439855105827
9,좌천동,21030700010401,50.0,0.156,129.0504668189217,35.132375568409415
10,초량6동,21030550010006,86.0,0.731,129.02905015697388,35.12386116634878
11,초량6동,21030550010001,85.0,0.655,129.03435906692258,35.12591695293716
12,초량6동,21030550010008,87.0,0.634,129.0317813562242,35.12008875251666
13,초량2동,21030520010005,76.0,0.631,129.0309390167567,35.11749358880411
14,좌천동,21030700010003,90.0,0.614,129.05074874611833,35.134928164772305
15,초량1동,21030510010002,60.0,0.509,129.03479912052762,35.11627914200944
